2026-05-09 13:54:31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-09 13:54:34 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='admin', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@63f40ca0, com.mongodb.Jep395RecordCodecProvider@4dad8ec0, com.mongodb.KotlinCodecProvider@24dd44f9]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017], srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-12ucmv-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2026-05-09 13:54:35 [cluster-ClusterId{value='69feef42fbd2b43049de51fe', description='Cluster0'}-ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=317128001, setName='atlas-12ucmv-shard-0', canonicalAddress=ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, hosts=[ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=59, topologyVersion=TopologyVersion{processId=69fe34e3d32bafa7cc852470, counter=4}, lastWriteDate=Sat May 09 13:54:35 IST 2026, lastUpdateTimeNanos=16542004644900}
2026-05-09 13:54:35 [cluster-ClusterId{value='69feef42fbd2b43049de51fe', description='Cluster0'}-ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=317159200, setName='atlas-12ucmv-shard-0', canonicalAddress=ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, hosts=[ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000e0, setVersion=59, topologyVersion=TopologyVersion{processId=69fe36f9ce2a30380c46f295, counter=6}, lastWriteDate=Sat May 09 13:54:35 IST 2026, lastUpdateTimeNanos=16542004654299}
2026-05-09 13:54:35 [cluster-ClusterId{value='69feef42fbd2b43049de51fe', description='Cluster0'}-ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=317114500, setName='atlas-12ucmv-shard-0', canonicalAddress=ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017, hosts=[ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=59, topologyVersion=TopologyVersion{processId=69fe394f10e611a265193d31, counter=3}, lastWriteDate=Sat May 09 13:54:35 IST 2026, lastUpdateTimeNanos=16542004651000}
2026-05-09 13:54:35 [cluster-ClusterId{value='69feef42fbd2b43049de51fe', description='Cluster0'}-ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017 with max election id 7fffffff00000000000000e0 and max set version 59
2026-05-09 13:54:35 [main] INFO  com.sentinel.engine.ApiMonitor - Initializing global fleet surveillance protocols...
2026-05-09 13:54:35 [main] INFO  com.sentinel.engine.ApiMonitor - Scheduling surveillance for Test 1 | Protocol Frequency: 30s
2026-05-09 13:54:35 [main] INFO  com.sentinel.engine.ApiMonitor - Scheduling surveillance for Test 2 | Protocol Frequency: 30s
2026-05-09 13:54:35 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 38decddf-36a1-4b37-b235-c1dc68c60746

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-05-09 13:54:36 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6f1d799, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@ca2cd5e, org.springframework.security.web.context.SecurityContextHolderFilter@67ceeffd, org.springframework.security.web.header.HeaderWriterFilter@13dd7887, org.springframework.web.filter.CorsFilter@a120b9, org.springframework.security.web.authentication.logout.LogoutFilter@3bf5911d, com.sentinel.security.JwtTokenFilter@333e5fb6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@72001c71, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@e7b0bec, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3b7b0b57, org.springframework.security.web.session.SessionManagementFilter@342a1f84, org.springframework.security.web.access.ExceptionTranslationFilter@7283877, org.springframework.security.web.access.intercept.AuthorizationFilter@36c783ca]
2026-05-09 13:54:36 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5500"]
2026-05-09 13:54:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 5500 (http) with context path ''
2026-05-09 13:54:36 [main] INFO  com.sentinel.SentinelApplication - Started SentinelApplication in 5.967 seconds (process running for 6.741)
2026-05-09 13:55:03 [http-nio-5500-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-09 13:55:03 [http-nio-5500-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-09 13:55:03 [http-nio-5500-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-05-09 14:45:53 [SpringApplicationShutdownHook] INFO  com.sentinel.engine.ApiMonitor - Deactivating all active surveillance signals...
2026-05-09 14:46:13 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-09 14:46:13 [main] INFO  com.sentinel.SentinelApplication - Starting SentinelApplication using Java 17.0.12 with PID 21428 (A:\Projects\Sentinel\backend\target\classes started by Ajay in A:\Projects\Sentinel\backend)
2026-05-09 14:46:13 [main] INFO  com.sentinel.SentinelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-09 14:46:14 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2026-05-09 14:46:15 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 231 ms. Found 4 MongoDB repository interfaces.
2026-05-09 14:46:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 5500 (http)
2026-05-09 14:46:16 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5500"]
2026-05-09 14:46:16 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-09 14:46:16 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-05-09 14:46:16 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-09 14:46:16 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2261 ms
2026-05-09 14:46:16 [main] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017 to client view of cluster
2026-05-09 14:46:16 [main] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017 to client view of cluster
2026-05-09 14:46:16 [main] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017 to client view of cluster
2026-05-09 14:46:16 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='admin', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@382dc417, com.mongodb.Jep395RecordCodecProvider@3daf03d8, com.mongodb.KotlinCodecProvider@510689af]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017], srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-12ucmv-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2026-05-09 14:46:17 [cluster-ClusterId{value='69fefb60a01bdf204936e881', description='Cluster0'}-ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=321403000, setName='atlas-12ucmv-shard-0', canonicalAddress=ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, hosts=[ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000e0, setVersion=59, topologyVersion=TopologyVersion{processId=69fe36f9ce2a30380c46f295, counter=6}, lastWriteDate=Sat May 09 14:46:17 IST 2026, lastUpdateTimeNanos=19643862714300}
2026-05-09 14:46:17 [cluster-ClusterId{value='69fefb60a01bdf204936e881', description='Cluster0'}-ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=321339200, setName='atlas-12ucmv-shard-0', canonicalAddress=ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, hosts=[ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=59, topologyVersion=TopologyVersion{processId=69fe34e3d32bafa7cc852470, counter=4}, lastWriteDate=Sat May 09 14:46:17 IST 2026, lastUpdateTimeNanos=19643862736100}
2026-05-09 14:46:17 [cluster-ClusterId{value='69fefb60a01bdf204936e881', description='Cluster0'}-ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=321418800, setName='atlas-12ucmv-shard-0', canonicalAddress=ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017, hosts=[ac-ipegaos-shard-00-00.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017, ac-ipegaos-shard-00-01.n6xcems.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=59, topologyVersion=TopologyVersion{processId=69fe394f10e611a265193d31, counter=3}, lastWriteDate=Sat May 09 14:46:17 IST 2026, lastUpdateTimeNanos=19643862714500}
2026-05-09 14:46:17 [cluster-ClusterId{value='69fefb60a01bdf204936e881', description='Cluster0'}-ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-ipegaos-shard-00-02.n6xcems.mongodb.net:27017 with max election id 7fffffff00000000000000e0 and max set version 59
2026-05-09 14:46:17 [main] INFO  com.sentinel.engine.ApiMonitor - Initializing global fleet surveillance protocols...
2026-05-09 14:46:17 [main] INFO  com.sentinel.engine.ApiMonitor - Scheduling surveillance for Test 1 | Protocol Frequency: 30s
2026-05-09 14:46:17 [main] INFO  com.sentinel.engine.ApiMonitor - Scheduling surveillance for Test 2 | Protocol Frequency: 30s
2026-05-09 14:46:17 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: fc377a47-8e73-4178-b074-2e6220dd186d

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-05-09 14:46:18 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@14dbfdb1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7856f41a, org.springframework.security.web.context.SecurityContextHolderFilter@3bf5911d, org.springframework.security.web.header.HeaderWriterFilter@1a34a51e, org.springframework.web.filter.CorsFilter@5fbae40, org.springframework.security.web.authentication.logout.LogoutFilter@7b79ff1c, com.sentinel.security.JwtTokenFilter@2c08c787, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1cc93da4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@69d2fb0a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@67f591c2, org.springframework.security.web.session.SessionManagementFilter@39e3ea78, org.springframework.security.web.access.ExceptionTranslationFilter@6b2e9db2, org.springframework.security.web.access.intercept.AuthorizationFilter@71b3ba5a]
2026-05-09 14:46:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5500"]
2026-05-09 14:46:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 5500 (http) with context path ''
2026-05-09 14:46:18 [main] INFO  com.sentinel.SentinelApplication - Started SentinelApplication in 5.507 seconds (process running for 6.136)
2026-05-09 14:46:23 [http-nio-5500-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-09 14:46:23 [http-nio-5500-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-09 14:46:23 [http-nio-5500-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
